order_id,product,quantity,unit_price,region,sales_rep,order_date,customer_id,total_amount
ORD-000001,Phone,9,458.27,South,Alice Johnson,2025-02-14,CUST-6972,4124.43
ORD-000002,Monitor,1,187.57,East,Diana Lee,2024-11-12,CUST-4983,187.57
ORD-000003,Camera,1,294.49,East,Diana Lee,2025-06-10,CUST-7876,294.49
ORD-000004,Headphones,4,319.81,Central,Grace Taylor,2024-09-16,CUST-4399,1279.24
ORD-000005,Phone,9,16.42,Central,Henry Davis,2025-04-24,CUST-5290,147.78000000000003
ORD-000006,Speakers,6,335.13,North,Alice Johnson,2024-09-22,CUST-6233,2010.78
ORD-000007,Keyboard,3,97.24,West,Eva Martinez,2024-06-21,CUST-7698,291.71999999999997
ORD-000008,Phone,1,480.92,North,Grace Taylor,2024-07-18,CUST-9113,480.92
ORD-000009,Camera,4,82.84,Central,Diana Lee,2024-10-20,CUST-3806,331.36
ORD-000010,Headphones,9,213.17,South,Diana Lee,2025-05-12,CUST-4871,1918.53
ORD-000011,Monitor,3,51.82,Central,Eva Martinez,2024-07-20,CUST-9261,155.46
ORD-000012,Camera,9,498.47,West,Diana Lee,2024-08-29,CUST-3639,4486.2300000000005
ORD-000013,Camera,7,256.08,Central,Diana Lee,2024-10-06,CUST-2158,1792.56
ORD-000014,Keyboard,4,301.74,West,Diana Lee,2024-09-04,CUST-6667,1206.96
ORD-000015,Tablet,3,42.87,West,Frank Wilson,2025-06-06,CUST-4423,128.60999999999999
ORD-000016,Headphones,5,377.48,West,Grace Taylor,2025-05-12,CUST-4583,1887.4
ORD-000017,Mouse,5,112.85,West,Bob Smith,2024-10-10,CUST-9190,564.25
ORD-000018,Camera,3,450.05,West,Grace Taylor,2025-01-09,CUST-2069,1350.15
ORD-000019,Tablet,9,110.52,South,Eva Martinez,2025-01-03,CUST-2572,994.68
ORD-000020,Mouse,4,103.44,North,Diana Lee,2024-12-20,CUST-4680,413.76
ORD-000021,Headphones,5,27.91,East,Grace Taylor,2025-05-16,CUST-9251,139.55
ORD-000022,Laptop,4,241.31,North,Frank Wilson,2025-04-16,CUST-3028,965.24
ORD-000023,Speakers,5,286.77,West,Henry Davis,2024-10-19,CUST-1730,1433.85
ORD-000024,Tablet,7,42.2,South,Eva Martinez,2025-04-30,CUST-8582,295.40000000000003
ORD-000025,Printer,9,390.01,Central,Charlie Brown,2025-05-03,CUST-6764,3510.09
ORD-000026,Laptop,7,232.11,South,Grace Taylor,2025-05-01,CUST-9166,1624.77
ORD-000027,Speakers,5,266.95,West,Charlie Brown,2025-03-09,CUST-9436,1334.75
ORD-000028,Keyboard,7,225.97,South,Diana Lee,2024-09-22,CUST-2805,1581.79
ORD-000029,Phone,5,206.37,South,Frank Wilson,2024-09-27,CUST-6607,1031.85
ORD-000030,Monitor,3,284.22,West,Frank Wilson,2024-07-17,CUST-1518,852.6600000000001
ORD-000031,Printer,7,86.07,South,Grace Taylor,2024-11-20,CUST-5849,602.49
ORD-000032,Keyboard,2,99.14,East,Eva Martinez,2024-12-26,CUST-9983,198.28
ORD-000033,Headphones,9,432.27,East,Eva Martinez,2025-03-24,CUST-6276,3890.43
ORD-000034,Keyboard,1,473.6,South,Frank Wilson,2025-04-11,CUST-6701,473.6
ORD-000035,Phone,6,192.92,Central,Eva Martinez,2024-07-27,CUST-5514,1157.52
ORD-000036,Headphones,7,142.66,West,Frank Wilson,2025-01-05,CUST-5010,998.62
ORD-000037,Printer,8,325.56,East,Grace Taylor,2025-04-02,CUST-7185,2604.48
ORD-000038,Phone,9,210.28,Central,Bob Smith,2024-10-18,CUST-5821,1892.52
ORD-000039,Mouse,2,22.44,South,Frank Wilson,2025-04-03,CUST-7552,44.88
ORD-000040,Monitor,2,86.51,Central,Charlie Brown,2024-08-20,CUST-6006,173.02
ORD-000041,Printer,5,360.83,North,Eva Martinez,2024-12-08,CUST-4007,1804.1499999999999
ORD-000042,Mouse,5,332.87,East,Frank Wilson,2024-10-02,CUST-2886,1664.35
ORD-000043,Speakers,6,23.28,South,Frank Wilson,2024-12-02,CUST-5756,139.68
ORD-000044,Printer,3,118.77,West,Grace Taylor,2024-11-21,CUST-3554,356.31
ORD-000045,Speakers,8,123.23,South,Eva Martinez,2024-12-12,CUST-1182,985.84
ORD-000046,Headphones,1,339.23,West,Bob Smith,2024-11-06,CUST-3235,339.23
ORD-000047,Mouse,6,19.66,South,Grace Taylor,2024-06-11,CUST-4981,117.96000000000001
ORD-000048,Monitor,4,61.01,Central,Bob Smith,2024-10-27,CUST-8106,244.04
ORD-000049,Phone,1,401.96,Central,Henry Davis,2024-07-18,CUST-6341,401.96
ORD-000050,Camera,7,97.49,Central,Grace Taylor,2024-12-13,CUST-9625,682.43
ORD-000051,Keyboard,9,329.85,North,Eva Martinez,2024-09-14,CUST-2903,2968.65
ORD-000052,Laptop,4,126.71,West,Alice Johnson,2025-05-13,CUST-3427,506.84
ORD-000053,Monitor,4,58.73,Central,Eva Martinez,2025-02-11,CUST-2070,234.92
ORD-000054,Mouse,6,129.15,North,Eva Martinez,2024-07-25,CUST-1339,774.9000000000001
ORD-000055,Camera,3,363.91,West,Bob Smith,2025-04-04,CUST-5355,1091.73
ORD-000056,Monitor,6,429.29,South,Bob Smith,2024-09-22,CUST-5972,2575.7400000000002
ORD-000057,Mouse,7,416.81,North,Eva Martinez,2024-08-07,CUST-8753,2917.67
ORD-000058,Tablet,3,204.62,East,Eva Martinez,2025-05-11,CUST-7411,613.86
ORD-000059,Tablet,7,337.36,North,Eva Martinez,2024-10-24,CUST-7480,2361.52
ORD-000060,Speakers,3,110.44,North,Bob Smith,2024-08-17,CUST-7655,331.32
ORD-000061,Monitor,2,153.64,West,Eva Martinez,2025-01-12,CUST-2695,307.28
ORD-000062,Tablet,4,449.2,South,Eva Martinez,2024-11-24,CUST-9407,1796.8
ORD-000063,Mouse,8,16.37,East,Henry Davis,2024-12-03,CUST-8449,130.96
ORD-000064,Speakers,9,51.9,Central,Diana Lee,2025-01-02,CUST-2672,467.09999999999997
