order_id,product,quantity,unit_price,region,sales_rep,order_date,customer_id,total_amount
ORD-000001,Phone,9,458.27,South,Alice Johnson,2025-01-09,CUST-5096,4124.43
ORD-000002,Monitor,1,187.57,East,Diana Lee,2024-07-01,CUST-3484,187.57
ORD-000003,Camera,1,294.49,East,Diana Lee,2025-02-08,CUST-6858,294.49
ORD-000004,Headphones,4,319.81,Central,Grace Taylor,2025-04-17,CUST-8833,1279.24
ORD-000005,Phone,9,16.42,Central,Henry Davis,2025-03-14,CUST-2446,147.78000000000003
ORD-000006,Speakers,6,335.13,North,Alice Johnson,2024-08-24,CUST-8292,2010.78
ORD-000007,Keyboard,3,97.24,West,Eva Martinez,2025-01-15,CUST-9247,291.71999999999997
ORD-000008,Phone,1,480.92,North,Grace Taylor,2025-01-07,CUST-3603,480.92
ORD-000009,Camera,4,82.84,Central,Diana Lee,2024-09-23,CUST-5434,331.36
ORD-000010,Headphones,9,213.17,South,Diana Lee,2024-08-25,CUST-1344,1918.53
ORD-000011,Monitor,3,51.82,Central,Eva Martinez,2024-11-08,CUST-9244,155.46
ORD-000012,Camera,9,498.47,West,Diana Lee,2024-10-01,CUST-3960,4486.2300000000005
ORD-000013,Camera,7,256.08,Central,Diana Lee,2024-10-11,CUST-1903,1792.56
ORD-000014,Keyboard,4,301.74,West,Diana Lee,2024-11-11,CUST-6789,1206.96
ORD-000015,Tablet,3,42.87,West,Frank Wilson,2025-02-03,CUST-4695,128.60999999999999
ORD-000016,Headphones,5,377.48,West,Grace Taylor,2024-07-15,CUST-1999,1887.4
ORD-000017,Mouse,5,112.85,West,Bob Smith,2025-01-14,CUST-1302,564.25
ORD-000018,Camera,3,450.05,West,Grace Taylor,2025-04-04,CUST-5946,1350.15
ORD-000019,Tablet,9,110.52,South,Eva Martinez,2025-01-24,CUST-6439,994.68
ORD-000020,Mouse,4,103.44,North,Diana Lee,2025-05-28,CUST-7649,413.76
ORD-000021,Headphones,5,27.91,East,Grace Taylor,2025-03-26,CUST-9164,139.55
ORD-000022,Laptop,4,241.31,North,Frank Wilson,2024-07-29,CUST-9164,965.24
ORD-000023,Speakers,5,286.77,West,Henry Davis,2024-08-06,CUST-8566,1433.85
ORD-000024,Tablet,7,42.2,South,Eva Martinez,2024-07-29,CUST-9117,295.40000000000003
ORD-000025,Printer,9,390.01,Central,Charlie Brown,2025-05-14,CUST-9649,3510.09
ORD-000026,Laptop,7,232.11,South,Grace Taylor,2024-08-01,CUST-1414,1624.77
ORD-000027,Speakers,5,266.95,West,Charlie Brown,2024-11-03,CUST-3712,1334.75
ORD-000028,Keyboard,7,225.97,South,Diana Lee,2025-04-02,CUST-5266,1581.79
ORD-000029,Phone,5,206.37,South,Frank Wilson,2024-09-08,CUST-4861,1031.85
ORD-000030,Monitor,3,284.22,West,Frank Wilson,2025-02-22,CUST-6640,852.6600000000001
ORD-000031,Printer,7,86.07,South,Grace Taylor,2024-07-12,CUST-4288,602.49
ORD-000032,Keyboard,2,99.14,East,Eva Martinez,2025-04-09,CUST-9580,198.28
ORD-000033,Headphones,9,432.27,East,Eva Martinez,2024-12-29,CUST-8097,3890.43
ORD-000034,Keyboard,1,473.6,South,Frank Wilson,2025-02-15,CUST-7691,473.6
ORD-000035,Phone,6,192.92,Central,Eva Martinez,2025-03-19,CUST-8296,1157.52
ORD-000036,Headphones,7,142.66,West,Frank Wilson,2025-03-10,CUST-4852,998.62
ORD-000037,Printer,8,325.56,East,Grace Taylor,2025-03-19,CUST-3062,2604.48
ORD-000038,Phone,9,210.28,Central,Bob Smith,2024-07-01,CUST-2710,1892.52
ORD-000039,Mouse,2,22.44,South,Frank Wilson,2024-06-27,CUST-3291,44.88
ORD-000040,Monitor,2,86.51,Central,Charlie Brown,2025-05-06,CUST-5200,173.02
ORD-000041,Printer,5,360.83,North,Eva Martinez,2025-06-09,CUST-7751,1804.1499999999999
ORD-000042,Mouse,5,332.87,East,Frank Wilson,2025-04-29,CUST-8633,1664.35
ORD-000043,Speakers,6,23.28,South,Frank Wilson,2024-12-15,CUST-5776,139.68
ORD-000044,Printer,3,118.77,West,Grace Taylor,2024-09-21,CUST-6918,356.31
ORD-000045,Speakers,8,123.23,South,Eva Martinez,2024-09-16,CUST-1352,985.84
ORD-000046,Headphones,1,339.23,West,Bob Smith,2025-04-16,CUST-7047,339.23
ORD-000047,Mouse,6,19.66,South,Grace Taylor,2025-02-27,CUST-3009,117.96000000000001
ORD-000048,Monitor,4,61.01,Central,Bob Smith,2025-03-26,CUST-6227,244.04
ORD-000049,Phone,1,401.96,Central,Henry Davis,2025-03-26,CUST-6719,401.96
ORD-000050,Camera,7,97.49,Central,Grace Taylor,2025-05-27,CUST-8276,682.43
ORD-000051,Keyboard,9,329.85,North,Eva Martinez,2024-12-28,CUST-3222,2968.65
ORD-000052,Laptop,4,126.71,West,Alice Johnson,2024-08-21,CUST-2636,506.84
ORD-000053,Monitor,4,58.73,Central,Eva Martinez,2024-08-04,CUST-4915,234.92
ORD-000054,Mouse,6,129.15,North,Eva Martinez,2024-10-09,CUST-7453,774.9000000000001
ORD-000055,Camera,3,363.91,West,Bob Smith,2024-10-17,CUST-8247,1091.73
ORD-000056,Monitor,6,429.29,South,Bob Smith,2024-10-11,CUST-7291,2575.7400000000002
